tale_id,rights_status,content_description,set,sampling_version,type_count,collection,volume_no,source_ref,atu_labels_json
era_vene_1_503_1,open,[Царевна-лягушка].,core,v1_20251230,3,"ERA, Vene",1,"ERA, Vene 1, 503/4 (1)","[""402""]"
era_vene_1_515_1,open,"[По пьяне мужик спорит, что сможет принести ночью с каменки камень. Идёт в баню, берёт камень, его кто-то хватает за руку. Слышит голос девушки, которая говорит, что отпустит, только если замуж возьмёт. Мужик соглашается, девушка отпускает._x000D_
Через время девушка является ему во сне, мучает его. Свадебный поезд останавливается у бани, выводят невесту из-под пола. Проклятая невеста не идёт в церковь. Говорит, что пусть поп кинет своего ребёнка в печь, потому что это подмёныш чертей, которые её в бани засадили. Поп слушается, мужик и проклятая девушка женятся.]",coverage,v1_20251230,1,"ERA, Vene",1,"ERA, Vene 1, 515/6 (1)","[""410""]"
era_vene_12_105_22,open,Снегурочка.,core,v1_20251230,3,"ERA, Vene",12,"ERA, Vene 12, 105 (22)","[""703*""]"
era_vene_12_137_98,open,Иван-дурак.,core,v1_20251230,4,"ERA, Vene",12,"ERA, Vene 12, 137/41 (98)","[""530""]"
era_vene_12_189_1,open,Два брата.,core,v1_20251230,2,"ERA, Vene",12,"ERA, Vene 12, 189/94 (1)","[""735A""]"
era_vene_12_440_19,open,Снегурочка.,core,v1_20251230,3,"ERA, Vene",12,"ERA, Vene 12, 440/1 (19)","[""703*""]"
era_vene_12_501_1,open,[Морозко].,core,v1_20251230,5,"ERA, Vene",12,"ERA, Vene 12, 501/6 (1)","[""480D*""]"
era_vene_12_541_1,open,Липунюшка [Мальчик-с-пальчик].,core,v1_20251230,2,"ERA, Vene",12,"ERA, Vene 12, 541/4 (1)","[""700""]"
era_vene_12_592_4,open,Снегурочка.,core,v1_20251230,3,"ERA, Vene",12,"ERA, Vene 12, 592/4 (4)","[""703*""]"
era_vene_12_95_18,open,"Мальчик-с-пальчик. [Мужик бросает отрубленный палец за печку. Палец становиться мальчиком, он говорит, что отнесёт отцу обед в поле. По пути на дороге соломинка - ему не перелезть. Мальчик зовёт отца, мужик слышит голос, но мальчика не видит. Когда находит, спрашивает, откуда от взялся, мальчик отвечает, мужик радуется.]",core,v1_20251230,2,"ERA, Vene",12,"ERA, Vene 12, 95/7 (18)","[""700""]"
era_vene_12_97_19,open,Мороз[ко].,core,v1_20251230,5,"ERA, Vene",12,"ERA, Vene 12, 97/101 (19)","[""480D*""]"
era_vene_13_106_14,open,"Холостой Митя встречает на реке девушку, которая зовёт его гулять, он отказывается. Ночью она опять приходит и зовёт гулять, на следующую ночь тоже самое. Девка лезет целоваться, но Митя видит у неё рога. На утро он молится и плачет._x000D_
Барин зовёт Митю покойнику читать, вихром кони уносят в ""соседнюю деревню"". У колодца девушка учит, как защититься от покойницы-колдуньи. После похорон (где стягает покойницу) Митя встречает девушку у горелого пня и женится на ней. Превращаются в голубей и прилетают в Мите домой, где пропадают поп и попадья. Митяна жена хочет навестить родителей, её отец сулит богатсво, он отказывается, просит лошадей. Отец-колдун отдаёт коней на время, они превращаются в попа и попадью.",core,v1_20251230,3,"ERA, Vene",13,"ERA, Vene 13, 106/24 (14)","[""307"", ""410""]"
