tale_id,rights_status,content_description,set,sampling_version,type_count,collection,volume_no,source_ref,atu_labels_json,txt_path,text_raw,summary_norm,text_norm
era_vene_1_503_1,open,[Царевна-лягушка].,core,v1_20251230,3,"ERA, Vene",1,"ERA, Vene 1, 503/4 (1)","[""402""]",/Users/eugenia/Desktop/thesis/magic_tagger/data/processed/text_extraction/era_vene_1_503_1.txt,"Тили были царь с царицей у не
было три сына. Царица померла «яну
когда схоронили, то царь захотел женить
своих сыновей. Он послал их сперва испеч
три хлеба. Они пошли каждый во свою
сторону – Младшого стрела упала в
канаву старшего на юг а среднего на
льер. Младими пришел к конава и запло
хал. Лягушка выпрахнула из лужи
спросила что он плачет. Он рассказал ей
про свое горюшка. Она испекла дму
хорошие хлебы и велела итти домой.
Он отдал хлеб царю и царь взял
слей оде Царь велел шить каондом
по рубашки и они пошли отять
по своим дорогам. И опять младщего
сына рубашка оказалась, луче чемь
у старших. Тогда царь велел каждом
привести по невесть Каждый пошел
всвою сторону. Младшийсел у


канове и опять заплакал что его участь
брать гушку. Но лгумка выпрыгнула
из коновы и сказала, что она тоже
поедет. Лягушка опять куда то спрят
лась и вскоре явилась такой красавнцей
что Еванушка и глаза вытарачил.
Они посхали к царю и исрь онят
позвалис младшого сыно
Сыграли свадьбу и стали онить
и поживать и дабро наживать.


",царевна-лягушка.,"тили были царь с царицей у не было три сына. царица померла «яну когда схоронили, то царь захотел женить своих сыновей. он послал их сперва испеч три хлеба. они пошли каждый во свою сторону — младшого стрела упала в канаву старшего на юг а среднего на льер. младими пришел к конава и запло хал. лягушка выпрахнула из лужи спросила что он плачет. он рассказал ей про свое горюшка. она испекла дму хорошие хлебы и велела итти домой. он отдал хлеб царю и царь взял слей оде царь велел шить каондом по рубашки и они пошли отять по своим дорогам. и опять младщего сына рубашка оказалась, луче чемь у старших. тогда царь велел каждом привести по невесть каждый пошел всвою сторону. младшийсел у канове и опять заплакал что его участь брать гушку. но лгумка выпрыгнула из коновы и сказала, что она тоже поедет. лягушка опять куда то спрят лась и вскоре явилась такой красавнцей что еванушка и глаза вытарачил. они посхали к царю и исрь онят позвалис младшого сыно сыграли свадьбу и стали онить и поживать и дабро наживать."
era_vene_1_515_1,open,"[По пьяни мужик спорит, что сможет принести ночью с каменки камень. Идёт в баню, берёт камень, его кто-то хватает за руку. Слышит голос девушки, которая говорит, что отпустит, только если замуж возьмёт. Мужик соглашается, девушка отпускает.
Через время девушка является ему во сне, мучает его. Свадебный поезд останавливается у бани, выводят невесту из-под пола. Проклятая невеста не идёт в церковь. Говорит, что пусть поп кинет своего ребёнка в печь, потому что это подмёныш чертей, которые её в бани засадили. Поп слушается, мужик и проклятая девушка женятся.]",coverage,v1_20251230,1,"ERA, Vene",1,"ERA, Vene 1, 515/6 (1)","[""410""]",/Users/eugenia/Desktop/thesis/magic_tagger/data/processed/text_extraction/era_vene_1_515_1.txt,"Раз пяное, ребятище» подился.
что можит в 12 часов ночи принесо
с паменки камень. Уюшая он в баню
Как только взял он камень, по сразу
хвотил кто по ему за руку и не
пуснает. Пробыл он рваться, но не
что не помогасть. Вдруг послышился
голое девушки. Она ему сказала.
возми меня замуж, а если не возмень
то я тебя от сюда не пущу. Делать
было нечего. Он согласился ее взять.
замуж. Она его отпустила домой.
Пришая он домой и неможит


опомниться. Прошло несколько времени.
детище чтот уже все забыл. Серезжен
время стала девушка ему являтся восне
и говорила теже слова. Она ждовала ему
спокою. Пришлось ему мениться на пей
Запряти логадей и госхали гости за м
той. Жаних едит на передней готады. Вд
остановился ианих перед баней Всегоста
испугались и стали его спрашивать, что что
живет твоя невеста. Он ии рассказали похать
Вошли они в банюл вывечии под полка
красавицу – девушку, которая была проклята.
Поехали они в Церковь венчаться. Остановива
каго церкви, невеста не идет 1 церковъ. Она
сказала: Поди к попу, пуской оки нинут своего
ребенка в горячую печь, это черти им
принесли на место меня, а меня туда
в баню спесли а я уже там 10год жила.
Послушался попи сжок чертененка.
Они обынались и стали вместе мне
поживать.


","по пьяни мужик спорит, что сможет принести ночью с каменки камень. идет в баню, берет камень, его кто-то хватает за руку. слышит голос девушки, которая говорит, что отпустит, только если замуж возьмет. мужик соглашается, девушка отпускает. через время девушка является ему во сне, мучает его. свадебный поезд останавливается у бани, выводят невесту из-под пола. проклятая невеста не идет в церковь. говорит, что пусть поп кинет своего ребенка в печь, потому что это подменыш чертей, которые ее в бани засадили. поп слушается, мужик и проклятая девушка женятся.","раз пяное, ребятище» подился. что можит в 12 часов ночи принесо с паменки камень. уюшая он в баню как только взял он камень, по сразу хвотил кто по ему за руку и не пуснает. пробыл он рваться, но не что не помогасть. вдруг послышился голое девушки. она ему сказала. возми меня замуж, а если не возмень то я тебя от сюда не пущу. делать было нечего. он согласился ее взять. замуж. она его отпустила домой. пришая он домой и неможит опомниться. прошло несколько времени. детище чтот уже все забыл. серезжен время стала девушка ему являтся восне и говорила теже слова. она ждовала ему спокою. пришлось ему мениться на пей запряти логадей и госхали гости за м той. жаних едит на передней готады. вд остановился ианих перед баней всегоста испугались и стали его спрашивать, что что живет твоя невеста. он ии рассказали похать вошли они в банюл вывечии под полка красавицу — девушку, которая была проклята. поехали они в церковь венчаться. остановива каго церкви, невеста не идет 1 церковъ. она сказала: поди к попу, пуской оки нинут своего ребенка в горячую печь, это черти им принесли на место меня, а меня туда в баню спесли а я уже там 10год жила. послушался попи сжок чертененка. они обынались и стали вместе мне поживать."
era_vene_12_105_22,open,Снегурочка.,core,v1_20251230,3,"ERA, Vene",12,"ERA, Vene 12, 105 (22)","[""703*""]",/Users/eugenia/Desktop/thesis/magic_tagger/data/processed/text_extraction/era_vene_12_105_22.txt,"Сделали дети со снегу куклу.
В одного старина и старухи
не было детей, я старуха и
говоритя хотела бы я пожить.
с дятям, о 6ы не дам.
А дети то и услишали и
оорят: «Да изъ принесем валу
дятенка
Приняели ей куклу снежил,
а претенег люди дурани были,
ня понимали; поставили ей
к печки гретьея – ена и жаста


",снегурочка.,"сделали дети со снегу куклу. в одного старина и старухи не было детей, я старуха и говоритя хотела бы я пожить. с дятям, о 6ы не дам. а дети то и услишали и оорят: «да изъ принесем валу дятенка приняели ей куклу снежил, а претенег люди дурани были, ня понимали; поставили ей к печки гретьея — ена и жаста"
era_vene_12_137_98,open,Иван-дурак.,core,v1_20251230,4,"ERA, Vene",12,"ERA, Vene 12, 137/41 (98)","[""530""]",/Users/eugenia/Desktop/thesis/magic_tagger/data/processed/text_extraction/era_vene_12_137_98.txt,"Кил-был стажк. В яво бло
тра сегна. Миша, Гриша и
Занька-дурачек Стал отеяпо
лирать и наказывал: «Ходите
ияня на вогил караулить
дни. Пришла череда старшого
виши, ей и проси: “Ванюша,
ходи, покорауль тятно. Яле
Заверну краюку хлеба, ей и
це но мошлу и каразли там
ваю ногк.
Втору ночь приходи черяда
раши, ей тоже проси: Ва¬
пюшка схдивось покораци
тятю! Опять пошел Ваня
дуран на вошли.


третья череда пришла Ва¬
нюше самому. Во полночью
тятя яво и спрашивает, Поче¬
у ня ходю Граша да Ниша
а все тѣ ходишь
- Да яни боятся и на хочут
тябя тятя, каразлить
тогда отси и говори, коли
сто так то вот тябя от
еня подарой конь Сивка Бур
ка-вещая канорка. Коле тябе
о надо буде махни платко
да стукни камешкой. Н тябе
и прибяжи Сивка-Бурка – вещая
какорка, ты ей в одное ухо
войдіи, а в друго вон выдии
будешь те распрякрасный мо¬
одая! Сказавши ети слова
отся замомъ, а Ваня по¬
шел во свояи.


33 суседском царстье прослави¬
ас царека дочка и царь созвал¬
жаних к ей свотаться. Кто
де самолучший, того и уени
заръ на дочне своей.
бяшил и Ванюшка ехать. Лво
лошадь вперяду всех, выше
всех да шньге всех. И сам
ей красавияя красавцем Бвон
ная сошлдь кок подпрычне
к самому онну царевой дочки.
вно и поставила Ванютну
наником – вдавила ему
перетне и е0д и ей усканал.
Царева дошна и говори: Вечи-
за того красовца кому
лобпометила.
Вярнулис брашья Домой,
а Ваня пяти на пяги. Яму
братья и говоря: Быя уа¬


н однн в царевой дочи, яму
яно 6 поб кольцом тиснезла.
А Данька пяпей и лоб тоят
сой повязат и говори. Няя¬
ия тамочо быел». А братьяо
дюи, Дурачина впчискался, так
есть дягов цазевой дочне до
тябя.
А Ванька все свое; ня я ни
тамъ бал
-Молги дурень, говоря брашья,
ляжи сябе на пячи, не та
и там были, но не одному
царму дочку ня датать.
Дал царь приная, чтобра все
жаншхи собрались и е вегдяри
с кольцом на лбу скопились
вси у дворца, а колца нет
ни 6 кого. Ворщу, ляти кра¬
савля на коне и подходит


к царевой доже. Тут яна яму
Слоусила в метку перетень.
Делать нечево стали в сводь-
онъ готовится, надо было
дичи стрялять. Вси настря
гяли хороших птиц, а Ваня
все сорок да ворож. Свара
и плаче: “Няльзя же тябя
доченька задурска отдастья.
да делать нечево царское
слово было уж дадено и
иггзали сводобу, а братья
диву давались. Вот Ваня
дурак каку сябе нявесту
достал


",иван-дурак.,"кил-был стажк. в яво бло тра сегна. миша, гриша и занька-дурачек стал отеяпо лирать и наказывал: «ходите ияня на вогил караулить дни. пришла череда старшого виши, ей и проси: “ванюша, ходи, покорауль тятно. яле заверну краюку хлеба, ей и це но мошлу и каразли там ваю ногк. втору ночь приходи черяда раши, ей тоже проси: ва пюшка схдивось покораци тятю! опять пошел ваня дуран на вошли. третья череда пришла ва нюше самому. во полночью тятя яво и спрашивает, поче у ня ходю граша да ниша а все тѣ ходишь - да яни боятся и на хочут тябя тятя, каразлить тогда отси и говори, коли сто так то вот тябя от еня подарой конь сивка бур ка-вещая канорка. коле тябе о надо буде махни платко да стукни камешкой. н тябе и прибяжи сивка-бурка — вещая какорка, ты ей в одное ухо войдіи, а в друго вон выдии будешь те распрякрасный мо одая! сказавши ети слова отся замомъ, а ваня по шел во свояи. 33 суседском царстье прослави ас царека дочка и царь созвал жаних к ей свотаться. кто де самолучший, того и уени заръ на дочне своей. бяшил и ванюшка ехать. лво лошадь вперяду всех, выше всех да шньге всех. и сам ей красавияя красавцем бвон ная сошлдь кок подпрычне к самому онну царевой дочки. вно и поставила ванютну наником — вдавила ему перетне и е0д и ей усканал. царева дошна и говори: вечиза того красовца кому лобпометила. вярнулис брашья домой, а ваня пяти на пяги. яму братья и говоря: быя уа н однн в царевой дочи, яму яно 6 поб кольцом тиснезла. а данька пяпей и лоб тоят сой повязат и говори. няя ия тамочо быел». а братьяо дюи, дурачина впчискался, так есть дягов цазевой дочне до тябя. а ванька все свое; ня я ни тамъ бал -молги дурень, говоря брашья, ляжи сябе на пячи, не та и там были, но не одному царму дочку ня датать. дал царь приная, чтобра все жаншхи собрались и е вегдяри с кольцом на лбу скопились вси у дворца, а колца нет ни 6 кого. ворщу, ляти кра савля на коне и подходит к царевой доже. тут яна яму слоусила в метку перетень. делать нечево стали в сводьонъ готовится, надо было дичи стрялять. вси настря гяли хороших птиц, а ваня все сорок да ворож. свара и плаче: “няльзя же тябя доченька задурска отдастья. да делать нечево царское слово было уж дадено и иггзали сводобу, а братья диву давались. вот ваня дурак каку сябе нявесту достал"
era_vene_12_189_1,open,Два брата.,core,v1_20251230,2,"ERA, Vene",12,"ERA, Vene 12, 189/94 (1)","[""735A""]",/Users/eugenia/Desktop/thesis/magic_tagger/data/processed/text_extraction/era_vene_12_189_1.txt,"Жили – брели два брата.
и посла смерти отца оба
ожанишс: старшой на бес¬
ной дявицъ, а надной на
богатой. Зауили яне отдел
нами доорами, а то спукойстваг
не было в их жинки горозо.
зартизвала.
пошли 6 старшово дети – вач
мола меньше, а хозяйство все
плоше и плаше. Ребять вси
гоме беголи и по дязевии.
побирались. Вот и говорит.
замно бедннова хозами.
для, как 6 твово Бзаша.
все добро рата, а 6 ное все


сокне; поди, попроси в яво го¬
модторать.
пошел ей к брату и проси.
Бай коня поорать.
– Ну да бяри, да штой назад
скорей.
- Не буду долго, спасибоги
Бояхая на свое поли и стал
орать. Влит под кустом
на яво поли мужичей сни.
вы и спрашивае от братни
нег Батраков.
вто кто тут спи, на моей
зямли.
Эх. та дурай, дурак, говорят
т, счастье твуе спит, я
братнино за конем ходи.
Баргал кизусии подходит
к кусту и ну охаживать
зубиной счастье свое, пол


что спини. Проснулось счастье
и говори: Штой тѣ бьемь
мяня
А ты на спи, а вевози няня
рвяти гомъ, босс жана бя
сарофенуя ходи, страмота
одна да и только.
дая та хочеть, мто я
помогло тябе!
Там точно.
Вот, пойди домой, слази
с нан последний сарафанъ.
и продай, а за выручку новый
купи и яво продай! Я буду
тябе помогать.
пошел нужин домой и го
ворит жане. Скинь сарафан.
кинезла яна саракфаю
пошел нужин в город. Про¬
аяи купил новый


и тот продал Что ни поку¬
пое – всяму сбрет хороший
и цана хороша.
Стали яней с бабой и дятяя
в город жить собираться.
6ортъ слышит кто-то за
печной плаче, да тай же¬
лодно приголасвоя. Смотрит¬
сидит старичен сгорблянный
и плаче вужни и спраши¬
ве. Кто тсъ и зачем пла¬
гемь.
“Горе я и кай мне не пла¬
кать, вот уязжаель и ляня
спокидами.
“Ну, полязай в сундуи, грит
лаужик, я и тебя повяду
вочезло горе в сундци, вужни
сунатх 6 землю законал.
3шел с сямоей в город и


занил барином.
проведая про ето младмой
брт и говорит мане
Надо пойтить брата про¬
ведать, и пошел в город: при
шелк брату и спранечвое:
Какъ ето т вдатъ и бед
ного богатым стал
Да тай, зарыя горе в землю
и стал богатым.
П в каким месте ти яво
зарыл.
Да возле дому свово прежня-
60.
Вот завистливый братъ помел¬
кая6 ддревню, пошел к пре¬
нему дому брата, откопал
сенонъ и годе вапустия. а
оде так емъ на шего и по
весилось мол ты талого


добрый, что ияня всустил и
я тябя за ето вск не поки
ну Обеднее совсим завистли¬
веги братъ и пришлось ялит
своих дятей помиру пустить.


",два брата.,"жили — брели два брата. и посла смерти отца оба ожанишс: старшой на бес ной дявицъ, а надной на богатой. зауили яне отдел нами доорами, а то спукойстваг не было в их жинки горозо. зартизвала. пошли 6 старшово дети — вач мола меньше, а хозяйство все плоше и плаше. ребять вси гоме беголи и по дязевии. побирались. вот и говорит. замно бедннова хозами. для, как 6 твово бзаша. все добро рата, а 6 ное все сокне; поди, попроси в яво го модторать. пошел ей к брату и проси. бай коня поорать. — ну да бяри, да штой назад скорей. - не буду долго, спасибоги бояхая на свое поли и стал орать. влит под кустом на яво поли мужичей сни. вы и спрашивае от братни нег батраков. вто кто тут спи, на моей зямли. эх. та дурай, дурак, говорят т, счастье твуе спит, я братнино за конем ходи. баргал кизусии подходит к кусту и ну охаживать зубиной счастье свое, пол что спини. проснулось счастье и говори: штой тѣ бьемь мяня а ты на спи, а вевози няня рвяти гомъ, босс жана бя сарофенуя ходи, страмота одна да и только. дая та хочеть, мто я помогло тябе! там точно. вот, пойди домой, слази с нан последний сарафанъ. и продай, а за выручку новый купи и яво продай! я буду тябе помогать. пошел нужин домой и го ворит жане. скинь сарафан. кинезла яна саракфаю пошел нужин в город. про аяи купил новый и тот продал что ни поку пое — всяму сбрет хороший и цана хороша. стали яней с бабой и дятяя в город жить собираться. 6ортъ слышит кто-то за печной плаче, да тай же лодно приголасвоя. смотрит сидит старичен сгорблянный и плаче вужни и спраши ве. кто тсъ и зачем пла гемь. “горе я и кай мне не пла кать, вот уязжаель и ляня спокидами. “ну, полязай в сундуи, грит лаужик, я и тебя повяду вочезло горе в сундци, вужни сунатх 6 землю законал. 3шел с сямоей в город и занил барином. проведая про ето младмой брт и говорит мане надо пойтить брата про ведать, и пошел в город: при шелк брату и спранечвое: какъ ето т вдатъ и бед ного богатым стал да тай, зарыя горе в землю и стал богатым. п в каким месте ти яво зарыл. да возле дому свово прежнявот завистливый братъ помел кая6 ддревню, пошел к пре нему дому брата, откопал сенонъ и годе вапустия. а оде так емъ на шего и по весилось мол ты талого добрый, что ияня всустил и я тябя за ето вск не поки ну обеднее совсим завистли веги братъ и пришлось ялит своих дятей помиру пустить."
era_vene_12_440_19,open,Снегурочка.,core,v1_20251230,3,"ERA, Vene",12,"ERA, Vene 12, 440/1 (19)","[""703*""]",/Users/eugenia/Desktop/thesis/magic_tagger/data/processed/text_extraction/era_vene_12_440_19.txt,"вили дед да бада и стали
ен замой со снегу девочку
ляпить. Бнe сляпили и при


вяли в комнату. Яна ожила
и стали к ней подружий хо
дить. Однажады яне пришли
и позвали в лес за ягодам
подруги собирали егоде и яю
потяряли. Тогда и бадушла
о дедушной пошли искать яю,
клинали, клемали, но яна не
отилинывалась – тое яна и
потярялась.


",снегурочка.,"вили дед да бада и стали ен замой со снегу девочку ляпить. бнe сляпили и при вяли в комнату. яна ожила и стали к ней подружий хо дить. однажады яне пришли и позвали в лес за ягодам подруги собирали егоде и яю потяряли. тогда и бадушла о дедушной пошли искать яю, клинали, клемали, но яна не отилинывалась — тое яна и потярялась."
era_vene_12_501_1,open,[Морозко].,core,v1_20251230,5,"ERA, Vene",12,"ERA, Vene 12, 501/6 (1)","[""480D*""]",/Users/eugenia/Desktop/thesis/magic_tagger/data/processed/text_extraction/era_vene_12_501_1.txt,"дрил мужем да баба Было
в и двя дочери. Една было


родна, а друга на родна.
Ня слюбила начеха на родну
. Наварит днем кисема, а
ночью ей под жопу и на утро
говорит мужу. Наша дожа сно¬
сни, а твоя всяпрр
тавши. Бабж хотца яю в нео
завать и заморозить; янаг
волит: старли, а старин завя-
для яно в нес, а я онинко нап
куи отправлю. Яна печку за-
топила, бишков напяила и
стала их кормить. Запрягли
лошадь, но дровни девошу
содили и завязли в лее. Свел
в нее, посадил на снег. Девочил
холодно, пришел мороз: шемъ
щелк, девна красна, девка бела
холодно ль тябя
холодно, порозаякормился, хо


годно.
Ну привез ей мороз мубу и
валенки и дланки на рки.
Во вторую ночь прикодит Мо-
Девка бела, девка красна, ко¬
днов тябе! Яна и говори
Кормилая морозеи, холодео мне.
Ей приве ей аидучек, там
всякой одеплы и золота и се¬
рябра и посодил яю назыду
чек.
Баба дома и говори, талой
большой, едь за ейним
костям, старик. Дед дяре
мяток, запрягое хошадь и едет
а сшарука блиш тячи ста
ла
брла в их, а яна, чузм,
щ, део иде, девку вядь, дев-


в холоне вся, в серебре.
А баба дое блин: Дура, говори,
дедна иде, девку вяде, посточки
в мятечие побрякиваю, а собало
свое. Дум, чум, дедпа иде, Девпу¬
вяде, вся в золоте, вся в серебря
И всам деле, видит баба!
дедна еде и девку в золоте¬
и серебре вяде, Бане завидно
стало, что девка скрутилась, и
говорит Повязем, старши, и
ни свою девку. Стала утром
баба блинѣ печь, а дедка за¬
пря гомадь и пове свою
в нес и посадил яну
снег: Сиди дочка.
приходи ночь; морог: Щелк,
щемъ, двка бела, девна прос
на н холодно е тябе.
н боюсь тябя, егод, ня


боюсь; а мороъ еще пуще
Во втору ночь еще сильнее
Защелкая. щелк, щели,д
абеля, девня краена, на
холодно и тябе
Говорила на боюс тябя
мороз яю и заморозил.
Зада на третье утро блини
чяка; а собона гое. Дум, чум,
едка еде, девку ведь, косто¬
нив мялеже побоживают
Бабо что на ндравится:
На, блин, волчи, говори; дес-
иде девну вяде еея в серяб¬
реу вся в золоте.
я собала все свое: Гум, гум¬
дедка еде, девну вяде, вмай¬
ее комноми побрякивают
Смотрит старуха  окна и
видит: едет старше и вся-


ее нямок о костями дочни.


",морозко.,"дрил мужем да баба было в и двя дочери. една было родна, а друга на родна. ня слюбила начеха на родну. наварит днем кисема, а ночью ей под жопу и на утро говорит мужу. наша дожа сно сни, а твоя всяпрр тавши. бабж хотца яю в нео завать и заморозить; янаг волит: старли, а старин завядля яно в нес, а я онинко нап куи отправлю. яна печку затопила, бишков напяила и стала их кормить. запрягли лошадь, но дровни девошу содили и завязли в лее. свел в нее, посадил на снег. девочил холодно, пришел мороз: шемъ щелк, девна красна, девка бела холодно ль тябя холодно, порозаякормился, хо годно. ну привез ей мороз мубу и валенки и дланки на рки. во вторую ночь прикодит модевка бела, девка красна, ко днов тябе! яна и говори кормилая морозеи, холодео мне. ей приве ей аидучек, там всякой одеплы и золота и се рябра и посодил яю назыду чек. баба дома и говори, талой большой, едь за ейним костям, старик. дед дяре мяток, запрягое хошадь и едет а сшарука блиш тячи ста ла брла в их, а яна, чузм, щ, део иде, девку вядь, девв холоне вся, в серебре. а баба дое блин: дура, говори, дедна иде, девку вяде, посточки в мятечие побрякиваю, а собало свое. дум, чум, дедпа иде, девпу вяде, вся в золоте, вся в серебря и всам деле, видит баба! дедна еде и девку в золоте и серебре вяде, бане завидно стало, что девка скрутилась, и говорит повязем, старши, и ни свою девку. стала утром баба блинѣ печь, а дедка за пря гомадь и пове свою в нес и посадил яну снег: сиди дочка. приходи ночь; морог: щелк, щемъ, двка бела, девна прос на н холодно е тябе. н боюсь тябя, егод, ня боюсь; а мороъ еще пуще во втору ночь еще сильнее защелкая. щелк, щели, д абеля, девня краена, на холодно и тябе говорила на боюс тябя мороз яю и заморозил. зада на третье утро блини чяка; а собона гое. дум, чум, едка еде, девку ведь, косто нив мялеже побоживают бабо что на ндравится: на, блин, волчи, говори; десиде девну вяде еея в серяб реу вся в золоте. я собала все свое: гум, гум дедка еде, девну вяде, вмай ее комноми побрякивают смотрит старуха окна и видит: едет старше и всяее нямок о костями дочни."
era_vene_12_541_1,open,Липунюшка [Мальчик-с-пальчик].,core,v1_20251230,2,"ERA, Vene",12,"ERA, Vene 12, 541/4 (1)","[""700""]",/Users/eugenia/Desktop/thesis/magic_tagger/data/processed/text_extraction/era_vene_12_541_1.txt,"жбре старии да старуха,
не брело в их дятей. Поехал
дед в поле орать спахами), а
старуха осталась дома блин
ей пего. Яна пеке былики и
говори: Нет в меня сгноша,
штобы снесть деду блиноша,
Ерел бые сегночей, снее бы блина.
А бабушна-то сяга, когда пря¬
пряжеу все охлопочки от
кудельки за печку клала
то охлагочнов снок маль
емъ спольшк и говори: Здрав-
ствуй бабуиша, дай я де
душки снясу блине.
Ох кормилея, куде те ся-
ти блинки, та не
знаеть где и дедушка на


ходится.
Бабушка завяжи блиноши, я
сляся.
Завязала бабуг блиночий,
пошее сегночек. Шел, шел, оставил
у дороги блиночи и сам даль¬
ше идет. Дошея до соломинии,
а соломиниа яму брявно. Стал
й кричать: Переняси Мяня,
дедушна; переняси мяня, дедуж
ка
чтарии заслочнная дешамиг
ей пошел и засмотрея кро¬
хотного мальчишка. Нальчишка
и говори: «Я воли сногей.
Федуима взяя блинии, сел на
корезиж и стал есть, а ен,
маленький: Дедциша, дай
поарать.
Да ты ведь маленький не


мочени.
Ничаво, дай поарать.
и Ну, фи сябе.
и пошея ей, за соку держится,
Оре и песенки пое.
Ехая нимо Барин и говори!
Дедцима, а дедуиша, кака в
тябя гошадь умна,  одная
намет.
Де и говори: “Нет, батюика
барин,  мяня сегнок оре и
песени ное.
Барин слушое и говори: “Про-
дай мне мальчина. И де
и говори: Не у мяня счной
Богом дамичи, ня продам.
а валенький и говори дедуш¬
ки вухо: Продай, Мяня де¬
душка, в нос Денея буде мно¬
годя все равно удяру от¬


наво назая.
Дадушка продал мальчиномупе¬
ня знаю за скольки серебряшит,
я продал. Положил барин наль¬
шка в карман в плaток и
поехал. На дороге стал лошасть
на колодце поить. Покалеетъ паль
лошадь, мальчик е кармана
ушел, к дедцими придеч и
говори: “Ну вот, дедцима, ила
кал, а вот я и здея и деньги
наши?
приезжае Барин Домой, оана
во встрягое. Ен и говори ей:
“Тана, моя любезная, я тябе
подарон привел.
витягое плашоя с кармана
а ен и пустой. Думая барин,
шораздавил нальчема.
Сназка вся и сказать няльзя.


",липунюшка мальчик-с-пальчик.,"жбре старии да старуха, не брело в их дятей. поехал дед в поле орать спахами), а старуха осталась дома блин ей пего. яна пеке былики и говори: нет в меня сгноша, штобы снесть деду блиноша, ерел бые сегночей, снее бы блина. а бабушна-то сяга, когда пря пряжеу все охлопочки от кудельки за печку клала то охлагочнов снок маль емъ спольшк и говори: здравствуй бабуиша, дай я де душки снясу блине. ох кормилея, куде те сяти блинки, та не знаеть где и дедушка на ходится. бабушка завяжи блиноши, я сляся. завязала бабуг блиночий, пошее сегночек. шел, шел, оставил у дороги блиночи и сам даль ше идет. дошея до соломинии, а соломиниа яму брявно. стал й кричать: переняси мяня, дедушна; переняси мяня, дедуж ка чтарии заслочнная дешамиг ей пошел и засмотрея кро хотного мальчишка. нальчишка и говори: «я воли сногей. федуима взяя блинии, сел на корезиж и стал есть, а ен, маленький: дедциша, дай поарать. да ты ведь маленький не мочени. ничаво, дай поарать. и ну, фи сябе. и пошея ей, за соку держится, оре и песенки пое. ехая нимо барин и говори! дедцима, а дедуиша, кака в тябя гошадь умна, одная намет. де и говори: “нет, батюика барин, мяня сегнок оре и песени ное. барин слушое и говори: “продай мне мальчина. и де и говори: не у мяня счной богом дамичи, ня продам. а валенький и говори дедуш ки вухо: продай, мяня де душка, в нос денея буде мно годя все равно удяру от наво назая. дадушка продал мальчиномупе ня знаю за скольки серебряшит, я продал. положил барин наль шка в карман в плaток и поехал. на дороге стал лошасть на колодце поить. покалеетъ паль лошадь, мальчик е кармана ушел, к дедцими придеч и говори: “ну вот, дедцима, ила кал, а вот я и здея и деньги наши? приезжае барин домой, оана во встрягое. ен и говори ей: “тана, моя любезная, я тябе подарон привел. витягое плашоя с кармана а ен и пустой. думая барин, шораздавил нальчема. сназка вся и сказать няльзя."
era_vene_12_592_4,open,Снегурочка.,core,v1_20251230,3,"ERA, Vene",12,"ERA, Vene 12, 592/4 (4)","[""703*""]",/Users/eugenia/Desktop/thesis/magic_tagger/data/processed/text_extraction/era_vene_12_592_4.txt,"Жия музик да баба стара


люди были. Не брело в их дя
тей. А вси ребятишки с дя¬
ревни приходили да балова¬
ипод ихним окомечкой, сня-
гурушки годили. Слодили
мягурушку и уголашки в
глазсъ сунули. Дедцима вп¬
ходи и избра и говори: слас
те и мые слягурушку де-
вожку! Яне и слодили,а уго¬
гяшки сунули и говоря: “толь-
к огоньку на подняси!
Не, детушки, не поднясу.
взял яю и в избушку по
нее. Снягуруима стала го-
ворить и по издушли хо
ит Старши все пол яю
ик огонечку не подпускал,
и печу не топил. А вот
и холодно стала на трежий


день и говори старик см
рухи, холодно, надо сточитъ
печку. Стопили. Утром яна
еще ходила. Следели дедна и
бабка обядали и дедка говори
Бабка, што ета на смепу-
рима на иде естить. Для
нулись ене, а снягурушкаю
и застаяла и остались дедни
с бабочой уголяшки ефъ.
Стали яня плакать и кри-
чашь: «Рябята, придите слова¬
балуйте под окошком и
смадьте снова снягурушку
тъ как ня ладили  все
ня сладить было. В изду
Бнясут, а яна больше на
ходи. Так што Бог им при
вижденье дал.


",снегурочка.,"жия музик да баба стара люди были. не брело в их дя тей. а вси ребятишки с дя ревни приходили да балова ипод ихним окомечкой, снягурушки годили. слодили мягурушку и уголашки в глазсъ сунули. дедцима вп ходи и избра и говори: слас те и мые слягурушку девожку! яне и слодили, а уго гяшки сунули и говоря: “тольк огоньку на подняси! не, детушки, не поднясу. взял яю и в избушку по нее. снягуруима стала говорить и по издушли хо ит старши все пол яю ик огонечку не подпускал, и печу не топил. а вот и холодно стала на трежий день и говори старик см рухи, холодно, надо сточитъ печку. стопили. утром яна еще ходила. следели дедна и бабка обядали и дедка говори бабка, што ета на смепурима на иде естить. для нулись ене, а снягурушкаю и застаяла и остались дедни с бабочой уголяшки ефъ. стали яня плакать и кричашь: «рябята, придите слова балуйте под окошком и смадьте снова снягурушку тъ как ня ладили все ня сладить было. в изду бнясут, а яна больше на ходи. так што бог им при вижденье дал."
