tale_id,summary_norm,text_norm,labels,labels_parent
era_vene_1_503_1,царевна-лягушка.,"тили были царь с царицей у не было три сына. царица померла «яну когда схоронили, то царь захотел женить своих сыновей. он послал их сперва испеч три хлеба. они пошли каждый во свою сторону — младшого стрела упала в канаву старшего на юг а среднего на льер. младими пришел к конава и запло хал. лягушка выпрахнула из лужи спросила что он плачет. он рассказал ей про свое горюшка. она испекла дму хорошие хлебы и велела итти домой. он отдал хлеб царю и царь взял слей оде царь велел шить каондом по рубашки и они пошли отять по своим дорогам. и опять младщего сына рубашка оказалась, луче чемь у старших. тогда царь велел каждом привести по невесть каждый пошел всвою сторону. младшийсел у канове и опять заплакал что его участь брать гушку. но лгумка выпрыгнула из коновы и сказала, что она тоже поедет. лягушка опять куда то спрят лась и вскоре явилась такой красавнцей что еванушка и глаза вытарачил. они посхали к царю и исрь онят позвалис младшого сыно сыграли свадьбу и стали онить и поживать и дабро наживать.",['402'],['402']
era_vene_1_515_1,"по пьяни мужик спорит, что сможет принести ночью с каменки камень. идет в баню, берет камень, его кто-то хватает за руку. слышит голос девушки, которая говорит, что отпустит, только если замуж возьмет. мужик соглашается, девушка отпускает. через время девушка является ему во сне, мучает его. свадебный поезд останавливается у бани, выводят невесту из-под пола. проклятая невеста не идет в церковь. говорит, что пусть поп кинет своего ребенка в печь, потому что это подменыш чертей, которые ее в бани засадили. поп слушается, мужик и проклятая девушка женятся.","раз пяное, ребятище» подился. что можит в 12 часов ночи принесо с паменки камень. уюшая он в баню как только взял он камень, по сразу хвотил кто по ему за руку и не пуснает. пробыл он рваться, но не что не помогасть. вдруг послышился голое девушки. она ему сказала. возми меня замуж, а если не возмень то я тебя от сюда не пущу. делать было нечего. он согласился ее взять. замуж. она его отпустила домой. пришая он домой и неможит опомниться. прошло несколько времени. детище чтот уже все забыл. серезжен время стала девушка ему являтся восне и говорила теже слова. она ждовала ему спокою. пришлось ему мениться на пей запряти логадей и госхали гости за м той. жаних едит на передней готады. вд остановился ианих перед баней всегоста испугались и стали его спрашивать, что что живет твоя невеста. он ии рассказали похать вошли они в банюл вывечии под полка красавицу — девушку, которая была проклята. поехали они в церковь венчаться. остановива каго церкви, невеста не идет 1 церковъ. она сказала: поди к попу, пуской оки нинут своего ребенка в горячую печь, это черти им принесли на место меня, а меня туда в баню спесли а я уже там 10год жила. послушался попи сжок чертененка. они обынались и стали вместе мне поживать.",['410'],['410']
era_vene_12_105_22,снегурочка.,"сделали дети со снегу куклу. в одного старина и старухи не было детей, я старуха и говоритя хотела бы я пожить. с дятям, о 6ы не дам. а дети то и услишали и оорят: «да изъ принесем валу дятенка приняели ей куклу снежил, а претенег люди дурани были, ня понимали; поставили ей к печки гретьея — ена и жаста",['703*'],['703']
era_vene_12_137_98,иван-дурак.,"кил-был стажк. в яво бло тра сегна. миша, гриша и занька-дурачек стал отеяпо лирать и наказывал: «ходите ияня на вогил караулить дни. пришла череда старшого виши, ей и проси: “ванюша, ходи, покорауль тятно. яле заверну краюку хлеба, ей и це но мошлу и каразли там ваю ногк. втору ночь приходи черяда раши, ей тоже проси: ва пюшка схдивось покораци тятю! опять пошел ваня дуран на вошли. третья череда пришла ва нюше самому. во полночью тятя яво и спрашивает, поче у ня ходю граша да ниша а все тѣ ходишь - да яни боятся и на хочут тябя тятя, каразлить тогда отси и говори, коли сто так то вот тябя от еня подарой конь сивка бур ка-вещая канорка. коле тябе о надо буде махни платко да стукни камешкой. н тябе и прибяжи сивка-бурка — вещая какорка, ты ей в одное ухо войдіи, а в друго вон выдии будешь те распрякрасный мо одая! сказавши ети слова отся замомъ, а ваня по шел во свояи. 33 суседском царстье прослави ас царека дочка и царь созвал жаних к ей свотаться. кто де самолучший, того и уени заръ на дочне своей. бяшил и ванюшка ехать. лво лошадь вперяду всех, выше всех да шньге всех. и сам ей красавияя красавцем бвон ная сошлдь кок подпрычне к самому онну царевой дочки. вно и поставила ванютну наником — вдавила ему перетне и е0д и ей усканал. царева дошна и говори: вечиза того красовца кому лобпометила. вярнулис брашья домой, а ваня пяти на пяги. яму братья и говоря: быя уа н однн в царевой дочи, яму яно 6 поб кольцом тиснезла. а данька пяпей и лоб тоят сой повязат и говори. няя ия тамочо быел». а братьяо дюи, дурачина впчискался, так есть дягов цазевой дочне до тябя. а ванька все свое; ня я ни тамъ бал -молги дурень, говоря брашья, ляжи сябе на пячи, не та и там были, но не одному царму дочку ня датать. дал царь приная, чтобра все жаншхи собрались и е вегдяри с кольцом на лбу скопились вси у дворца, а колца нет ни 6 кого. ворщу, ляти кра савля на коне и подходит к царевой доже. тут яна яму слоусила в метку перетень. делать нечево стали в сводьонъ готовится, надо было дичи стрялять. вси настря гяли хороших птиц, а ваня все сорок да ворож. свара и плаче: “няльзя же тябя доченька задурска отдастья. да делать нечево царское слово было уж дадено и иггзали сводобу, а братья диву давались. вот ваня дурак каку сябе нявесту достал",['530'],['530']
era_vene_12_189_1,два брата.,"жили — брели два брата. и посла смерти отца оба ожанишс: старшой на бес ной дявицъ, а надной на богатой. зауили яне отдел нами доорами, а то спукойстваг не было в их жинки горозо. зартизвала. пошли 6 старшово дети — вач мола меньше, а хозяйство все плоше и плаше. ребять вси гоме беголи и по дязевии. побирались. вот и говорит. замно бедннова хозами. для, как 6 твово бзаша. все добро рата, а 6 ное все сокне; поди, попроси в яво го модторать. пошел ей к брату и проси. бай коня поорать. — ну да бяри, да штой назад скорей. - не буду долго, спасибоги бояхая на свое поли и стал орать. влит под кустом на яво поли мужичей сни. вы и спрашивае от братни нег батраков. вто кто тут спи, на моей зямли. эх. та дурай, дурак, говорят т, счастье твуе спит, я братнино за конем ходи. баргал кизусии подходит к кусту и ну охаживать зубиной счастье свое, пол что спини. проснулось счастье и говори: штой тѣ бьемь мяня а ты на спи, а вевози няня рвяти гомъ, босс жана бя сарофенуя ходи, страмота одна да и только. дая та хочеть, мто я помогло тябе! там точно. вот, пойди домой, слази с нан последний сарафанъ. и продай, а за выручку новый купи и яво продай! я буду тябе помогать. пошел нужин домой и го ворит жане. скинь сарафан. кинезла яна саракфаю пошел нужин в город. про аяи купил новый и тот продал что ни поку пое — всяму сбрет хороший и цана хороша. стали яней с бабой и дятяя в город жить собираться. 6ортъ слышит кто-то за печной плаче, да тай же лодно приголасвоя. смотрит сидит старичен сгорблянный и плаче вужни и спраши ве. кто тсъ и зачем пла гемь. “горе я и кай мне не пла кать, вот уязжаель и ляня спокидами. “ну, полязай в сундуи, грит лаужик, я и тебя повяду вочезло горе в сундци, вужни сунатх 6 землю законал. 3шел с сямоей в город и занил барином. проведая про ето младмой брт и говорит мане надо пойтить брата про ведать, и пошел в город: при шелк брату и спранечвое: какъ ето т вдатъ и бед ного богатым стал да тай, зарыя горе в землю и стал богатым. п в каким месте ти яво зарыл. да возле дому свово прежнявот завистливый братъ помел кая6 ддревню, пошел к пре нему дому брата, откопал сенонъ и годе вапустия. а оде так емъ на шего и по весилось мол ты талого добрый, что ияня всустил и я тябя за ето вск не поки ну обеднее совсим завистли веги братъ и пришлось ялит своих дятей помиру пустить.",['735A'],['735']
era_vene_12_440_19,снегурочка.,"вили дед да бада и стали ен замой со снегу девочку ляпить. бнe сляпили и при вяли в комнату. яна ожила и стали к ней подружий хо дить. однажады яне пришли и позвали в лес за ягодам подруги собирали егоде и яю потяряли. тогда и бадушла о дедушной пошли искать яю, клинали, клемали, но яна не отилинывалась — тое яна и потярялась.",['703*'],['703']
era_vene_12_501_1,морозко.,"дрил мужем да баба было в и двя дочери. една было родна, а друга на родна. ня слюбила начеха на родну. наварит днем кисема, а ночью ей под жопу и на утро говорит мужу. наша дожа сно сни, а твоя всяпрр тавши. бабж хотца яю в нео завать и заморозить; янаг волит: старли, а старин завядля яно в нес, а я онинко нап куи отправлю. яна печку затопила, бишков напяила и стала их кормить. запрягли лошадь, но дровни девошу содили и завязли в лее. свел в нее, посадил на снег. девочил холодно, пришел мороз: шемъ щелк, девна красна, девка бела холодно ль тябя холодно, порозаякормился, хо годно. ну привез ей мороз мубу и валенки и дланки на рки. во вторую ночь прикодит модевка бела, девка красна, ко днов тябе! яна и говори кормилая морозеи, холодео мне. ей приве ей аидучек, там всякой одеплы и золота и се рябра и посодил яю назыду чек. баба дома и говори, талой большой, едь за ейним костям, старик. дед дяре мяток, запрягое хошадь и едет а сшарука блиш тячи ста ла брла в их, а яна, чузм, щ, део иде, девку вядь, девв холоне вся, в серебре. а баба дое блин: дура, говори, дедна иде, девку вяде, посточки в мятечие побрякиваю, а собало свое. дум, чум, дедпа иде, девпу вяде, вся в золоте, вся в серебря и всам деле, видит баба! дедна еде и девку в золоте и серебре вяде, бане завидно стало, что девка скрутилась, и говорит повязем, старши, и ни свою девку. стала утром баба блинѣ печь, а дедка за пря гомадь и пове свою в нес и посадил яну снег: сиди дочка. приходи ночь; морог: щелк, щемъ, двка бела, девна прос на н холодно е тябе. н боюсь тябя, егод, ня боюсь; а мороъ еще пуще во втору ночь еще сильнее защелкая. щелк, щели, д абеля, девня краена, на холодно и тябе говорила на боюс тябя мороз яю и заморозил. зада на третье утро блини чяка; а собона гое. дум, чум, едка еде, девку ведь, косто нив мялеже побоживают бабо что на ндравится: на, блин, волчи, говори; десиде девну вяде еея в серяб реу вся в золоте. я собала все свое: гум, гум дедка еде, девну вяде, вмай ее комноми побрякивают смотрит старуха окна и видит: едет старше и всяее нямок о костями дочни.",['480D*'],['480']
era_vene_12_95_18,"мальчик-с-пальчик. мужик бросает отрубленный палец за печку. палец становиться мальчиком, он говорит, что отнесет отцу обед в поле. по пути на дороге соломинка - ему не перелезть. мальчик зовет отца, мужик слышит голос, но мальчика не видит. когда находит, спрашивает, откуда от взялся, мальчик отвечает, мужик радуется.","бубил мужик дрова и отру был сей пальчила, брошл ен гальчик за печку. собрался му зем в поле идтит и говоря жане: принеси мые естить в поле, я приуставши и домой к обиду на приеду пришло время обеда вдруг 23-за печки встрагивает кро хотный мальчик и говорит блот воей маменькой, а с бу ду твам сночом и будь пять есть носите. да где тябе, отвечое баба те такой маленыкий да хорошена кой, где тябе снесть тяние стить пет, маменька, я снясу, взя узелок и пошел. попала ему навстрегу соло еинеса, яму и на перешачни он кричит тятя, тятя я тябе есть нясу! тятьялег нал, идет смотрет, а чело бена не видит, но голое си тятя, тятя я тябе естить нясу! подходит ен ближе и види: маленький, ма ченьг мальчик. мужик и прамивает кому тѣ естите нясемъ! да тябе, тятя! откулъ те взялся. да когда то пальчик обрезал да за печь кинул, начал я е полььа тово ростить. нос, рос вечрос, а танекъ тябе еститъ. обродовался мужик и стали нне втроем жить",['700'],['700']
era_vene_13_137_16,"у попа и попадьи было много земли, не могут найти работника в помощь. приходит мужик наниматься, плату требует - три щелчка в лоб. у батрака неведанная сила, поп и пападья хотят его извести от страха. поп и попадья задают батраку невыполнимые задания: поймать медведя и посадить на цепь, привезти муку от мельника-колдуна, взять с барина оброк. батрак едет к барину на повозке с медведем, черт (с мельницы) в упряжке. барин обещает отдать деньги, если батрак привезет от беса баринову дочку. барин и бес играют в карты на шелчки, батрака защищает железная шапка. батрак разбивает голову беса медной палкой, освобождает дочку. барин отдает деньги, батрак возвращается к попу. батрак щелкая попа по лбу, на второй шелчок поп умирает.","16. жин ной с попадьей. брыло в н много земли, а раз зимли много, так и работы много. ня здоляя пой одне пахать, сеить, косить, лен тренать. надумал е работника нанимать. п ше ей ванную деревню, в ругую, не найти работника. каво нетути работника — сам рабошая с сынам, а у наво нчнники, уне но несполько год ты. што делать попу стали работать с попадье. а приходя к пону какой то мужих и говорить: слыш по было, што ты, ной, ра ботника себе шишешь, так вои я могу быть в чтебя а ботником. обрадовался поп, и спракывая: скольки не ты будишь брать за свою работу. моя плата не велика тольки три мималука влет. согласился думая: во, кака плата-то нодужаешь три шизаецка, стрр плю я их. стал работнин ботать, ной тольки командать устевая. видя поп, што не простой в ево работник, дюпся симлиша в ем бальша: захванія один воз сеня и пре на мины ванбар. наз касне вся нива скошеп и говорит попадья полу; вот што ног, мы не рабошника себе врем я сменть. надоть яво кудынибудь дешь? и думають ной е понадьей - как субишь батрана. авшие поры были дюожа бальшушши нес, много в них всякова зверья было: и модведев и волнов и зайев и лимму. вот ойи задае сваму работнику зело: вот мето, батрак, новадился но мне в овее мадьед ходить, почитай кажный раз нд ався унле, так надоть отыва мядьедя погомать и на цень посадить. “к лишо-пе можно-говорить батран. пошел ейв лее, выследил медведь, накинул ему тетлю не шего и приволон яво и попу. как увиден мядведия поп, так и перепииался, думая ног, ччто кагда батран пойде 6 лес тнедьедя ловить, то мядвед заломая яво. он не такто вышло. крыщыть батрак: “от, хозялы што с модведем-то делать к поше е попадьей нигде и не винно занермся мы от страху в избы, сидя тамо и голосу не подють. уззли батрак, садни мезведя ванбать, зам нуя иво шама и иде и топу: “все справил я, хозяѣ, таперя прикатешь делать. а поладья то, в избы придумалико ку рабошу дать батроку. таку работу, штов неворо отился батрак, згинуи бы была в их приходи ме ница, жнл в ей старый мельник славился этот мень н своим колдовством. нихто к яму не ездни хлей лотить, оояися вей яво. вот туды-то и надумала попадья послать сваво батрана. говопртьнон батрану съезди ка батран на мельницу, што кусе блегта стоить, шам в енс прошлова году молошье не привезен. сироей ты вменино ево и привяти домой. наская батран но мельницу бошел, видя это-то коплится в жарнах, подходия батрак к веарнам и што жкоплится. там царт. пдавай, царт поповское молотые. момгыть дории тольки знае што-то делая в парнах. “ак ты, бее, так со мной и говорит не хоть, так я штебе покажу взяя ей цорта за хвостпи пну, посодни ево в млешок ик пону. привозя и крыщыть “привез я молотье, куды яво класть. пой сидить не пив ни мерть, думая; каку таку молоть ей привез, ведь я— не жизова не уждавало лотить. да и вернулся назад батрак, тут што-то не тое, винно перенутлся батрак мел оницу. вanбaр нес молотье. кинцяя батрак цорта вanдар и мледведю: “пушай шута покуля сидить! видють пой с топадьей, што никак им не утвезаться от батрака. не хоца пог ево больши в батраках держать: боится нои шталцка. думаютъ яны с попадьей, думают, не придумать никак попу. n понадья-то похитрей пола была: востимо, как все бабы завсегда хитрей мупцков. вом поладья и надумала мако дало: скапеи погъ батрашитой поехал к барину за оброком; снапей што этот барин доложей нам за двой кресьбин. тушай ево баритъ ушкалотя и в тюрьму о садя, шагды не будишь ты шшалуков боться пондряовилося это нону, зове ен к соде батрака и говорить: “вот тоде батрак, астатые дело сделать, коли сделаешь все но порядки, так прияжай в расплату шобе дам. вот што ты доложой сделать: за верст певе барин, бйдо ложон мне за двои кресьбин, ты едь к ему и проси денег. не велико, ног, этое дело, омигом слешаю. пошел батрак ванбар, вывел аттульведя и цорные, зanреч царта за мест лошади, а сам сел с лиедведем в новозну. вихрилъ понее нх царт, как стрела метяя парсатый. прилешлмны к барьскому дво. хлез батрак с навозки и говорить медведго то лледведь, стань нул ворот смотри никова не кай, а ты, цорт, садись вяр хом на вороша и кто де-всих глотай и пере. сая ношей к барину и говорить: “я за наповым долгом приекасе, ридавай-ка, барин какой-такодол, не, дгожа тыт так мехко в меня яво не получишь “ну, так я и силном возьму, хвисну своим слугали, так живо отдашь, барин» гменци барин в опно, видя: стоить медведь нул ворот, сидить цорі не воротае и не убець ни куды “ланно, стдам я шебе половы деньги е перва ты сполый то, я шиебе скажи завла ая моей дацкой дес, кудь яну дел не знаю. коли при вязешь ты маю дацку ко мые домой, то и отдам я тобе понов долг. посковли л батран в головы, не лежа этая зазаца, подумая ею подумал и говорить: исто не привезу, да тольки дай ты мые лезну шанку да менну пал ку! дая ему барин зллезну шамку и мену палку, наехал батрак, плесаи адин, а царта да модьедь оставии сторец, т-5 барин не убег. а жил этот дес недалько, пул самой церивы. прискил батран к царто вой избы, входя в избу и ну, бес, давай в карты играть, это каково убыграя, отово по башки бить. обрады вался бее, ну, думая, убыграю я яво, дам по башки и дух яво христьенский вой, е меня за этое старшой. достая бее карты, еель играть в дурана, играють, играюшь. уб ая бее батрака, заразывался ей подставлянно, таперия сваю башкуну и менну — не я тобе? надел батрак нелезну шакку и подставляя бесу свою башку. размахнулся бее, как дасть батрану по головы, тольки шанка затрямщала, а голова зела осталася “ницова, ду мая цорт, ашше два раз ево бить буду стали опсть играть, играли, играли и опять дее убыграл батрака. опять надявая батран зялезну шайку и бье ево по головы треснума шатка, да ихолося пополам, а балика. все цела. таперя тграютъ эмы третий раз. долго мны лнинак ниному ни убыграть. под конец убыграле беса батрак ну, бее, подставлей свою бал ду, дай-ка мне развернуться. подставил бее свою голову, взял батрак менлу палку, нулся што было моцы, да и шпариця бесу по балды. аж крякнул бее, расколол му батран церенину и видя: мея тама клюци, взл н этым клици, пошел шарить по бесовой избы. шарил, шарил, нашел дальшушоий марец. взял ей клюцам и открыл ларец а в ларцы-то межить дуть-псива. скватил батрак этуго девку в охалку да и тонис к барину. приходя кбарини и говорить: “а што барии, подавай долг девку то я пие принее. што-не неуева барину делать — отдас бы деньги батраку. взяи батран деньгии пошел на двор «ну, пархатый слязай с варот запрогайся да и всзи меня и пону, а ты, медведь десь замест куцера. стал ории просится вбатрика. и дюжа я замаривши, боля в меня ноги, писть ни хтот раз вязе мядведь. пожален гатран царта, посадил яво замест куцеря, а повез их мловед. не так круто все их мофведь, почитай на кажных 10 венст уждыхал. наконец прискали. отварая батран вароты, клца попа. а ной, как завиды с аношка, што едя батрак да аише на медведь, да замест куцера цории сидить, так и убалдея коп. кинулся ей к падьи и воня: “сприець меня куды-нибудь, едя батран за расцотом не уснела попадья спрятать ево, вошее в изьбу батран и говоришь: “ну, поп давай расцот, подставляй лоб ненуды полу довашься, под ставил ей батраку лоб. спервова милалцко подпрыг нул той до потолка, го втарова — помер ной — не ошлося батраку дать попу третьево шщалцка.","['650A', '1000', '1060']","['1000', '1060', '650']"
era_vene_13_15_1,морозко.,"1-2 авдотья ершова — 76 лет; деревья старый изборек. всю жизнь прожила в одной деревне. после долгой и упорной просьбы рассказала. неграмотная 1. неил дец с бабой, была в деда анная дацка, а в бабы две дацки. дедова дацка была дюожа красивая за хорошая. а мадика была ликоя низлюбила дадыву дацку. застался яла деда вестие дацку явоныву 6 лее да и оставить тама. запланые дед, любия ен свою дауку, ни хазее утвазить ену а мачиса все пристае утвери утвязи. дело было зимой, дгонса холынно было на улицы. внее дед свою дацку, нысадил на дровни и навез влес. пысадил яму в елец но снег, позвел си агоничик; вари девынока кашку замамся богу, ен снасе тябя. лсталася дефка анная, стала варить кашку и мамствы читт друг скок наскок на ветыцкам прискакая дец-мароз и гыварить ей: “«девынька, мароз, а ена яли твая: гасподь пиебя сгоды при нес. видя ду марог, шсто девка хороша, кинул ей валинцы. надела она валиныцки и апоть сидить кун агня грейца. в друго-ряд дед маро, скон носпок не елодкам и аношь ей; деввенька мароз», ена яму: “гасподь ебя принес. и атять швырьк ей теплый платок. девка топерь амише нушии богу молитца зная, што снасе ен ену. и в третии раз присканалда маро, и крылыть ей “он, девынока мароз, она ему ватьет: заспод птебя принее: и друг за бряцали званцы и надъесали поги, запряжоны в даряге ровни, а по дравнек то лушиты лареу стаить з том кован, а в ларцы всесново забра тыположин. садись девынька в дровни и пыяжом с богом. е дома, в мачиси была сабаченни пещака и все зетая жудка. ая и пригаваривая дедыва зацка едя дамой и дельный латей добра везе, а бабина дацка не стоя питацка: хватила мацыха палку и просила в жуцку, таяи молцала. услыхали не двари бубянцы звонют и увидли едя дедыва дацка, а на дранех бальмушший ларец сдабром как зыглядели завидушная модыха что и крычыть де ду вети и маю дацку влее и ена дабра привяте». над ой день, чуть светок пысадиа о мацыкину долку и атвер в лее. развел ей агоницык и цехал слыша дацка это-то скацка но вешки и пряло к е и гыварить: ай, девынька мароз: «а ен, ему: “лешіи плебя принес. рыссярдился но ену дед марог, иычасни ей агоницык и дымарозия ену пысылая мацыха деда в ле привести свою далку с дабром дамой. и жуцка атеть лая и приговаривая: mись, пись а мацыкиной дацки анные костояки везушь». и вбыль, так, привез деанные костодки т мацыеной дацки.",['480D*'],['480']
