volume_id;collection;kivike_pid;kivike_url;notes
era_vene_1;era_vene;ERA-17309-64138-54391;https://kivike.kirmus.ee/index.php?oid=1&module=400&op=3&pid=ERA-17309-64138-54391;
era_vene_2;era_vene;ERA-17309-64663-90856;https://kivike.kirmus.ee/index.php?oid=6&module=400&op=3&pid=ERA-17309-64663-90856;
era_vene_3;era_vene;ERA-13312-74553-37296;https://kivike.kirmus.ee/index.php?oid=7&module=400&op=3&pid=ERA-13312-74553-37296;
era_vene_4;era_vene;ERA-17309-66564-56855;https://kivike.kirmus.ee/index.php?oid=8&module=400&op=3&pid=ERA-17309-66564-56855;
era_vene_5;era_vene;ERA-17309-67938-53911;https://kivike.kirmus.ee/index.php?oid=9&module=400&op=3&pid=ERA-17309-67938-53911;
era_vene_6;era_vene;ERA-17309-69688-68971;https://kivike.kirmus.ee/index.php?oid=10&module=400&op=3&pid=ERA-17309-69688-68971;
era_vene_7;era_vene;ERA-17310-40182-36187;https://kivike.kirmus.ee/index.php?oid=11&module=400&op=3&pid=ERA-17310-40182-36187;
era_vene_8;era_vene;ERA-17310-40743-46966;https://kivike.kirmus.ee/index.php?oid=12&module=400&op=3&pid=ERA-17310-40743-46966;
era_vene_12;era_vene;ERA-17310-42908-91551;https://kivike.kirmus.ee/index.php?oid=2&module=400&op=3&pid=ERA-17310-42908-91551;
era_vene_13;era_vene;ERA-17310-43411-19198;https://kivike.kirmus.ee/index.php?oid=4&module=400&op=3&pid=ERA-17310-43411-19198;
era_vene_14;era_vene;ERA-17310-44062-73327;https://kivike.kirmus.ee/index.php?oid=3&module=400&op=3&pid=ERA-17310-44062-73327;
era_vene_15;era_vene;ERA-17310-45323-48286;https://kivike.kirmus.ee/index.php?oid=4&module=400&op=3&pid=ERA-17310-45323-48286;
era_vene_16;era_vene;ERA-17310-45777-04852;https://kivike.kirmus.ee/index.php?oid=5&module=400&op=3&pid=ERA-17310-45777-04852;
rkm_vene_1;rkm_vene;ERA-17169-45605-12424;https://kivike.kirmus.ee/index.php?oid=13&module=400&op=3&pid=ERA-17169-45605-12424;
rkm_vene_3;rkm_vene;ERA-17169-52493-58876;https://kivike.kirmus.ee/index.php?oid=14&module=400&op=3&pid=ERA-17169-52493-58876;
tru_vkk_1;tru_vkk;ERA-18217-46081-72938;https://kivike.kirmus.ee/index.php?oid=17&module=400&op=3&pid=ERA-18217-46081-72938;
tru_vkk_5;tru_vkk;ERA-18217-50927-74112;https://kivike.kirmus.ee/index.php?oid=28&module=400&op=3&pid=ERA-18217-50927-74112;
tru_vkk_9;tru_vkk;ERA-18217-54714-27865;https://kivike.kirmus.ee/index.php?oid=31&module=400&op=3&pid=ERA-18217-54714-27865;
tru_vkk_12;tru_vkk;ERA-18217-59200-40489;https://kivike.kirmus.ee/index.php?oid=18&module=400&op=3&pid=ERA-18217-59200-40489;
tru_vkk_13;tru_vkk;ERA-18217-59875-00914;https://kivike.kirmus.ee/index.php?oid=19&module=400&op=3&pid=ERA-18217-59875-00914;
tru_vkk_18;tru_vkk;ERA-18219-37966-01913;https://kivike.kirmus.ee/index.php?oid=20&module=400&op=3&pid=ERA-18219-37966-01913;
tru_vkk_25;tru_vkk;ERA-18218-44650-01989;https://kivike.kirmus.ee/index.php?oid=21&module=400&op=3&pid=ERA-18218-44650-01989;
tru_vkk_29;tru_vkk;ERA-18218-54681-35348;https://kivike.kirmus.ee/index.php?oid=22&module=400&op=3&pid=ERA-18218-54681-35348;
tru_vkk_32;tru_vkk;ERA-18218-58920-10179;https://kivike.kirmus.ee/index.php?oid=23&module=400&op=3&pid=ERA-18218-58920-10179;
tru_vkk_38;tru_vkk;ERA-18219-50044-30005;https://kivike.kirmus.ee/index.php?oid=24&module=400&op=3&pid=ERA-18219-50044-30005;
tru_vkk_41;tru_vkk;ERA-18219-51582-27687;https://kivike.kirmus.ee/index.php?oid=25&module=400&op=3&pid=ERA-18219-51582-27687;
tru_vkk_43;tru_vkk;ERA-18220-36061-80958;https://kivike.kirmus.ee/index.php?oid=26&module=400&op=3&pid=ERA-18220-36061-80958;
tru_vkk_48;tru_vkk;ERA-18238-63593-48566;https://kivike.kirmus.ee/index.php?oid=27&module=400&op=3&pid=ERA-18238-63593-48566;
tru_vkk_52;tru_vkk;ERA-18220-43481-96908;https://kivike.kirmus.ee/index.php?oid=29&module=400&op=3&pid=ERA-18220-43481-96908;
tru_vkk_62;tru_vkk;ERA-18220-55688-28401;https://kivike.kirmus.ee/index.php?oid=30&module=400&op=3&pid=ERA-18220-55688-28401;
