pagexml_file,page_id,line_id,x,y,w,h,gt_text,pred_trocr
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_1,401,387,1079,145,"чулок вязать, кто хошь",чулек влать кто качиль
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_2,405,487,1173,136,(сеть) вязти кто что. Се¬,(сеть) влягие кто что.
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_3,416,580,1138,107,одна супряженка к сто-,ла одна супряжента к сто
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_4,404,676,1108,121,лу вязть. Под столом,му вляжь. отод сталам
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_5,404,793,1101,92,была в подпол большая,была б подпол дольшая
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_6,416,861,1125,130,дырка и уронила верятено,дырна. м. уронила верятего
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_7,401,955,1155,87,с прялки туды. Верятяно,о прямки туды. оРерятяно
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_8,407,1031,1128,139,укатилося в подпол. кто,Прнотилося поджал. Нто
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_9,410,1126,1169,140,полезет за верятяном. Было,гомечет за верятияном. Бнно
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_10,407,1217,1126,102,там пять девушек. Все,там плогь девучиек.
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_11,401,1305,1146,133,бояться лезть в подпол. Од-,болтня межи в подном. Од.
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_12,401,1424,1113,93,на была отчаянная суп-,на Асли отчаянная гут-
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_13,407,1505,1183,95,ряженка. Полезла так. Лег-,"ряженно, Памаля тая. Ли-"
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_14,399,1581,1136,130,в подпол и ищет ве-,ма в подном и мщет ве
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_15,399,1700,1130,95,"рятяно. Искала, искала","рятляно. Искака, менала"
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_16,410,1778,1116,119,и кто-то схватил ее за,и кта-жо саватия не
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_17,408,1851,1145,129,руки и сказал: “Стой кра-,руки м схам: стой кра-
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_18,405,1979,1115,108,"савица, теперь ты моя"".","савща, жепры ты мая"
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_2_tl_19,416,2052,1108,119,Она с испугу спросила у,Она с истух строста
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_1,1956,368,1139,162,"няво. ""Кто ты есть?"" “Я","нове, Кто жн исть? 2"
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_2,1965,507,1149,93,"самый старый грех, я сижу","самьни старый грех, и шеску"
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_3,1986,589,1106,120,тут сто лет заколдован-,жут сто мети закан зован-
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_4,1962,668,1161,116,ныи и все дожидал этого дня.,дени и вы дожндан чтого дна.
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_5,1959,758,1158,129,Пойдешь за мяня замуж,Пойземь За мания замужа
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_6,1959,860,1176,117,"отпущу я тебя на волю, а","оттущу и теба на волно,"
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_7,1953,945,1191,138,"не пойдешь голову срублю"". Ря-",Фа пойземь голову грубн.
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_8,1968,1055,1151,85,шила девушка пойти за ня,лиша довусма жачи чаня.
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_9,1962,1125,1166,116,го замуж. Утпустил он яну,го замупо. Отретий оп.
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_10,1956,1217,1185,125,на волю. Супряженки все раз-,на волю. Супряжении ва ры-
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_11,1959,1304,1163,131,бежались от страху. Приеха-,бежались отраху. Приега-
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_12,1961,1392,1144,111,ли с гостей отец и мать.,пи с гостей отец и мать
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_13,1980,1480,1155,137,Рассказала девушка это все,Расскачала девущка то вое
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_14,1976,1573,1156,106,"отцу и матери, как это бы-","отцу м матеры, это Пы-"
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_15,1965,1670,1119,91,ло. Отец с матерью не по-,ме. Отсу с матерно по-
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_16,1986,1752,1170,119,верили. Прошло время не-,верими. Проило время не-
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_17,1971,1843,1198,134,дели две. Приходит тот день,дели дбе. Приходный ты
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_18,1980,1936,1119,126,6 который день убещался,в который день убелугля
era_rkm_vene_03_258-259.xml,era_rkm_vene_03_258-259,tr_3_tl_19,1962,2041,1139,127,грех приехать. Рассказала,"прок тримать, Расскака"
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_1,547,434,1195,161,и приходит на другое утро к,м мрикадиет на дризгон прых
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_2,557,538,1215,126,царю и говорит: «Дай мне по-,царны и иговрито. Дий мна по н
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_3,547,616,1217,138,хмелиться. Царь и говорит: «А,плинитдия. Ирра и створит:
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_4,556,710,1226,125,когда ты примишься за дело? Он,кода жи примива за дело. Он
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_5,542,782,1232,150,"говорит: ""Скоро будет."" Царь дал",говориж: Спора воддит. Изарь дал
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_6,561,874,1224,129,Он опять пришел на третье утро,Ох аплеть примен на этрется
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_7,562,960,1230,135,"и говорит царю: ""Дай мне немно-",и говгрит царые: Дой лени
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_8,542,1042,1245,102,"го похмелиться, много не давай"". Царь","го почмемерны, ибавай."
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_9,542,1119,1250,155,вынес ему рюмку и дал. Он выпил,Лине емуримку и дал. Он выч
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_10,542,1239,1250,107,и принес со двора щепок да шуми,и приние содлена идеда муми
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_11,542,1305,1228,117,и стал складывать щепки в кучу,и стал скодывать мрепки в ку
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_12,552,1387,1228,115,и вышел лебедь. Он сел и полетел.,ге вышия лебидь. Он сея и и �пололбеля
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_13,544,1471,1249,143,"Пока он летал, вто время пришел","Пока он лежая, вта врима прич"
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_14,552,1555,1227,140,золотой мастер и он прилетел.,залткимаетир и ипримется
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_15,565,1659,1184,118,Золотой мастер вынул три,Золотой мистер вниза тры
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_16,556,1718,1236,131,"рыбины золотые, но живые. Царь","Грывины золожне, но мивлие."
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_17,556,1839,1236,102,"сказал: ""Всетаки он сделал из щепы",сказал. Фытани он дляга
era_vene_02_606-607.xml,era_vene_02_606-607,tr_2_tl_18,557,1899,1215,136,"живого лебедя"". Царь дал рястанцу",оливно мендым Царь дал фястамцу
