atuConcept,atuCode,atuPrefLabel,atuTitle,taleCount
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/707,707,ATU 707 The Three Golden Children,The Three Golden Children,7
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/480,480,ATU 480 The Kind and the Unkind Girls,The Kind and the Unkind Girls,6
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/480D-star,480D*,ATU 480D* Tales of Kind and Unkind Girls,Tales of Kind and Unkind Girls,5
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/300,300,ATU 300 The Dragon-Slayer,The Dragon-Slayer,4
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/301,301,ATU 301 The Three Stolen Princesses,The Three Stolen Princesses,4
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/307,307,ATU 307 The Princess in the Coffin,The Princess in the Coffin,4
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/313,313,ATU 313 The Magic Flight,The Magic Flight,4
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/530,530,ATU 530 The Princess on the Glass Mountain,The Princess on the Glass Mountain,4
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/552,552,ATU 552 The Girls Who Married Animals,The Girls Who Married Animals,4
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/402,402,ATU 402 The Animal Bride,The Animal Bride,3
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/410,410,ATU 410 Sleeping Beauty,Sleeping Beauty,3
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/424-star,424*,ATU 424* [et] Abielu kuradi röövitud neiuga,[et] Abielu kuradi röövitud neiuga,3
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/480A,480A,ATU 480A Girl and Devil in a Strange House,Girl and Devil in a Strange House,3
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/530A,530A,ATU 530A The Pig with the Golden Bristles,The Pig with the Golden Bristles,3
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/550,550,"ATU 550 Bird, Horse and Princess","Bird, Horse and Princess",3
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/650A,650A,ATU 650A Strong John,Strong John,3
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/703-star,703*,ATU 703* The Artificial Child,The Artificial Child,3
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/302C-star,302C*,ATU 302C* The Magic Horse,The Magic Horse,2
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/303,303,ATU 303 The Twins Or Blood-Brothers,The Twins Or Blood-Brothers,2
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/314,314,ATU 314 Goldener,Goldener,2
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/325,325,ATU 325 The Magician and His Pupil,The Magician and His Pupil,2
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/331,331,ATU 331 The Spirit in the Bottle,The Spirit in the Bottle,2
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/425C,425C,ATU 425C Beauty and the Beast,Beauty and the Beast,2
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/554,554,ATU 554 The Grateful Animals,The Grateful Animals,2
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/556F-star,556F*,ATU 556F* The Shepherd in the Service of a Witch,The Shepherd in the Service of a Witch,2
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/700,700,ATU 700 Thumbling,Thumbling,2
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/706,706,ATU 706 The Maiden without Hands,The Maiden without Hands,2
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/707B-star,707B*,ATU 707B* [ru] Бова-королевич,[ru] Бова-королевич,2
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/735A,735A,ATU 735A Bad Luck Imprisoned,Bad Luck Imprisoned,2
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/1000,1000,ATU 1000 Contest Not to Become Angry,Contest Not to Become Angry,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/1060,1060,ATU 1060 Squeezing the (Supposed) Stone.,Squeezing the (Supposed) Stone.,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/1060-star,1060*,ATU 1060* Squeezing the Hand,Squeezing the Hand,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/1168,1168,ATU 1168 Various Ways of Exorcising Devils,Various Ways of Exorcising Devils,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/1174,1174,ATU 1174 Making a Rope of Sand,Making a Rope of Sand,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/1651A,1651A,ATU 1651A Fortune in Salt,Fortune in Salt,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/300A,300A,ATU 300A The Fight on the Bridge,The Fight on the Bridge,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/301A,301A,ATU 301A The Three Stolen Princesses (var.),The Three Stolen Princesses (var.),1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/301D-star,301D*,ATU 301D* The Princess’s Ring,The Princess’s Ring,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/312,312,ATU 312 Maiden-Killer (Bluebeard),Maiden-Killer (Bluebeard),1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/312D,312D,ATU 312D Rescue by the Brother,Rescue by the Brother,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/313A,313A,ATU 313A The Magic Flight (var.),The Magic Flight (var.),1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/326,326,ATU 326 The Youth Who Wanted to Learn What Fear is,The Youth Who Wanted to Learn What Fear is,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/326B-star,326B*,ATU 326B* The Youth and the Corpse,The Youth and the Corpse,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/327A,327A,ATU 327A Hansel and Gretel,Hansel and Gretel,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/328,328,ATU 328 The Boy Steals the Ogre’s Treasure,The Boy Steals the Ogre’s Treasure,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/328C-star,328C*,ATU 328C* [et] Uba pidi taevasse,[et] Uba pidi taevasse,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/329,329,ATU 329 Hiding from the Princess,Hiding from the Princess,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/330B,330B,ATU 330B The Smith and the Devil (var),The Smith and the Devil (var),1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/361,361,ATU 361 Bear-Skin,Bear-Skin,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/363,363,ATU 363 The Corpse-Eater,The Corpse-Eater,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/365,365,ATU 365 The Dead Bridegroom Carries off His Bride,The Dead Bridegroom Carries off His Bride,1
https://eugeniavd.github.io/magic_tagger/rdf/taleType/atu/407,407,ATU 407 The Girl as Flower,The Girl as Flower,1
